Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/19  10:00:00,2621299596.7164037,0.0,299945266.59550449,897133087.2273873,0.0,897133087.2273873,131999736.26373624,103907369.5922554,174276641.98495976,116904407.82517325,93492853.59687093,69887400.9935577,23605452.603313224 
 08/19  11:00:00,2625095931.298187,0.0,303007948.5189819,897133087.2273873,0.0,897133087.2273873,131999736.26373624,103907369.5922554,175010294.64326573,116904407.82517325,74482844.00258456,42995694.74116499,31487149.26141958 
 08/19  12:00:00,2625104758.477757,0.0,303038225.238155,897133087.2273873,0.0,897133087.2273873,131999736.26373624,103907369.5922554,174988845.10366268,116904407.82517325,52909017.63718494,29295020.475870145,23613997.161314809 
 08/19  13:00:00,2640081843.8246777,0.0,314386443.5287197,897133087.2273873,0.0,897133087.2273873,131999736.26373624,103907369.5922554,178617712.16001833,116904407.82517325,40471620.65873562,16870790.337546655,23600830.32118896 
 08/19  14:00:00,1766390193.9550577,0.0,333465596.6731669,269139926.168216,0.0,627993161.0591707,131999736.26373624,103907369.5922554,182979996.37333913,116904407.82517325,25192163.157085129,1616729.5255561933,23575433.631528938 
 08/19  15:00:00,1771126370.9251247,0.0,338237767.4657341,269139926.168216,0.0,627993161.0591707,131999736.26373624,103907369.5922554,182944002.55083854,116904407.82517325,16623728.39483105,893998.0864926365,15729730.308338415 
 08/19  16:00:00,1917083467.8045727,0.0,313501493.8001262,269139926.168216,0.0,627993161.0591707,307999384.6153846,103963111.18331811,177581983.15318347,116904407.82517325,47696204.13271966,31960225.568740235,15735978.56397942 
 08/19  17:00:00,1740823195.889541,0.0,281258489.4749385,89713308.72273873,0.0,538279852.336432,439999120.8791207,103907369.5922554,170760647.05888237,116904407.82517325,212212364.02170716,196512561.96317549,15699802.05853169 
 08/19  18:00:00,1068003533.437755,0.0,0.0,89713308.72273873,0.0,538279852.336432,439999120.8791207,0.0,11251.499463519873,0.0,7885587.839332407,0.0,7885587.839332407 
 08/19  19:00:00,1010760899.8385774,0.0,0.0,89713308.72273873,30757200.0,538279852.336432,351999296.7032966,0.0,11242.076109913787,0.0,7885816.121442421,0.0,7885816.121442421 
 08/19  20:00:00,1164546903.9587446,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,351999296.7032966,0.0,11246.19627711282,0.0,7886045.610233235,0.0,7886045.610233235 
